"Agency Name","Report Number","Report Date","Log Date","Crime Type","Crime Start","Crime End","Disposition","Building","Address","Latitude","Longitude"
"UFPD","211322","2021-12-17 12:46:00","2022-02-14","Larceny/Bicycle","","","*All Leads Exhausted","","528 Gale Lemerand Dr","29.64731295","-82.35021458"
"UFPD","211303","2021-12-11 18:01:00","2021-12-13","Larceny/Bicycle","","","Pending","Diamond Village","1394 Diamond Rd","29.643217","-82.34128627"
"UFPD","211301","2021-12-11 13:01:00","2021-12-13","Larceny/Bicycle","","","Pending","","132 Buckman Dr","29.6507943","-82.3450037"
"UFPD","211301","2021-12-11 13:01:00","2022-01-03","Larceny/Bicycle","","","*All Leads Exhausted","","132 Buckman Dr","29.6507943","-82.3450037"
"UFPD","211278","2021-12-04 20:35:00","2021-12-06","Larceny/Bicycle","","","Pending","","100 Fletcher Dr","29.651947","-82.3462902"
"UFPD","211255","2021-12-01 10:10:00","2021-12-02","Larceny/Bicycle","","","Pending","","1387 Museum Rd","29.64437545","-82.3405974"
"UFPD","211244","2021-11-28 23:02:00","2021-11-30","Larceny/Bicycle","","","Pending","","2191 Stadium Rd","29.6477298","-82.35338204"
"UFPD","211206","2021-11-18 13:25:00","2021-11-19","Larceny/Bicycle","","","Pending","","1358 Museum Rd","29.644944653061224","-82.33969949"
"UFPD","211206","2021-11-18 13:25:00","2021-11-24","Larceny/Bicycle","","","*All Leads Exhausted","","1358 Museum Rd","29.644944653061224","-82.33969949"
"UFPD","211193","2021-11-15 16:08:00","2021-11-16","Larceny/Bicycle","","","Pending","","133 Fletcher Dr","29.6512903","-82.34600255"
"UFPD","211192","2021-11-15 14:31:00","2021-11-16","Larceny/Bicycle","","","Pending","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","211192","2021-11-15 14:31:00","2021-11-19","Larceny/Bicycle","","","*All Leads Exhausted","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","211165","2021-11-09 11:23:00","2021-11-10","Larceny/Bicycle","","","Pending","","1745 McCarty Dr","29.6454145","-82.3457288"
"UFPD","211165","2021-11-09 11:23:00","2021-11-15","Larceny/Bicycle","","","*All Leads Exhausted","","1745 McCarty Dr","29.6454145","-82.3457288"
"UFPD","211163","2021-11-09 10:55:00","2021-11-10","Larceny/Bicycle","","","Pending","","3215 Hull Rd","29.6359371","-82.37037576"
"UFPD","211140","2021-11-03 09:28:00","2021-11-04","Larceny/Bicycle","","","Pending","","1407 Museum Rd","29.6440989","-82.34076885"
"UFPD","211140","2021-11-03 09:28:00","2021-11-09","Larceny/Bicycle","","","*All Leads Exhausted","","1407 Museum Rd","29.6440989","-82.34076885"
"UFPD","211138","2021-11-02 23:18:00","2021-11-03","Larceny/Bicycle","","","Pending","","1365 Museum Rd","29.64420485","-82.34024525"
"UFPD","211106","2021-10-28 12:23:00","2021-10-29","Larceny/Bicycle","","","Pending","","1387 Museum Rd","29.64437545","-82.3405974"
"UFPD","211092","2021-10-26 11:41:00","2021-10-27","Larceny/Bicycle","","","Pending","","1365 Museum Rd","29.64420485","-82.34024525"
"UFPD","211092","2021-10-26 11:41:00","2021-11-01","Larceny/Bicycle","","","*All Leads Exhausted","","1365 Museum Rd","29.64420485","-82.34024525"
"UFPD","211074","2021-10-23 07:25:00","2021-10-25","Larceny/Bicycle","","","Pending","","1680 McCarty Dr","29.6457968","-82.3451753"
"UFPD","211074","2021-10-23 07:25:00","2021-11-01","Larceny/Bicycle","","","*All Leads Exhausted","","1680 McCarty Dr","29.6457968","-82.3451753"
"UFPD","211045","2021-10-17 18:12:00","2021-10-18","Larceny/Bicycle","","","Pending","","133 Fletcher Dr","29.6512903","-82.34600255"
"UFPD","211045","2021-10-17 18:12:00","2021-10-22","Larceny/Bicycle","","","*All Leads Exhausted","","133 Fletcher Dr","29.6512903","-82.34600255"
"UFPD","210985","2021-10-05 22:35:00","2021-10-06","Larceny/Bicycle","","","Pending","","132 Buckman Dr","29.6507943","-82.3450037"
"UFPD","210944","2021-09-30 14:44:00","2021-10-01","Larceny/Bicycle","","","Pending","","400 Gale Lemerand Dr","29.6367136","-82.3501876"
"UFPD","210942","2021-09-30 12:56:00","2021-10-01","Larceny/Bicycle","","","Pending","","191 Fletcher Dr","29.65076745","-82.34550452"
"UFPD","210942","2021-09-30 12:56:00","2021-10-11","Larceny/Bicycle","","","*All Leads Exhausted","","191 Fletcher Dr","29.65076745","-82.34550452"
"UFPD","210941","2021-09-30 09:08:00","2021-10-01","Larceny/Bicycle","","","Pending","","1 Buckman Dr","29.6509383","-82.3447419"
"UFPD","210925","2021-09-27 12:48:00","2021-09-28","Larceny/Bicycle","","","Pending","Reitz Union","655 Reitz Union Dr","29.6450012","-82.3485992"
"UFPD","210925","2021-09-27 12:48:00","2021-10-04","Larceny/Bicycle","","","*All Leads Exhausted","Reitz Union","655 Reitz Union Dr","29.6450012","-82.3485992"
"UFPD","210885","2021-09-20 21:41:00","2021-09-21","Larceny/Bicycle","","","Pending","","562 Gale Lemerand Dr","29.6470214","-82.35074161"
"UFPD","210880","2021-09-20 12:59:00","2021-09-21","Larceny/Bicycle","","","Pending","","651 Newell Dr","29.64623255","-82.34292308"
"UFPD","210880","2021-09-20 12:59:00","2021-10-22","Larceny/Bicycle","","","*All Leads Exhausted","","651 Newell Dr","29.64623255","-82.34292308"
"UFPD","210876","2021-09-20 08:02:00","2021-09-21","Larceny/Bicycle","","","Pending","Reitz Union","655 Reitz Union Dr","29.6450012","-82.3485992"
"UFPD","210876","2021-09-20 08:02:00","2021-10-01","Larceny/Bicycle","","","*All Leads Exhausted","Reitz Union","655 Reitz Union Dr","29.6450012","-82.3485992"
"UFPD","210844","2021-09-15 16:23:00","2021-09-15","Larceny/Bicycle","","","Pending","","562 Gale Lemerand Dr","29.6470214","-82.35074161"
"UFPD","210839","2021-09-14 14:22:00","2021-09-15","Larceny/Bicycle","","","Pending","","684 Gale Lemerand Dr","29.6461794","-82.35073859"
"UFPD","210839","2021-09-14 14:22:00","2021-09-20","Larceny/Bicycle","","","*Unfounded","","684 Gale Lemerand Dr","29.6461794","-82.35073859"
"UFPD","210838","2021-09-14 12:49:00","2021-09-15","Larceny/Bicycle","","","Pending","","651 Newell Dr","29.64623255","-82.34292308"
"UFPD","210815","2021-09-10 12:33:00","2021-09-13","Larceny/Bicycle","","","Pending","Reitz Union","655 Reitz Union Dr","29.6450012","-82.3485992"
"UFPD","210811","2021-09-09 17:19:00","2021-09-10","Larceny/Bicycle","","","Pending","","244 Fletcher Dr","29.650122500000002","-82.34677597"
"UFPD","210811","2021-09-09 17:19:00","2021-09-27","Larceny/Bicycle","","","*Complaint Withdrawal","","244 Fletcher Dr","29.650122500000002","-82.34677597"
"UFPD","210758","2021-08-29 20:06:00","2021-08-30","Larceny/Bicycle","","","Pending","","2000 Mowry Rd","29.6383007","-82.3547387"
"UFPD","210737","2021-08-25 16:02:00","2021-08-26","Larceny/Bicycle","","","Pending","Chemistry Laboratory","125 Buckman Dr","29.650898","-82.3438967"
"UFPD","210703","2021-08-16 08:46:00","2021-08-17","Larceny/Bicycle","","","Pending","","607 Woodlawn Dr","29.6491472","-82.3557027"
"UFPD","210661","2021-07-29 12:13:00","2021-07-30","Larceny/Bicycle","","","Pending","","882 Newell Dr","29.643817","-82.34489554"
"UFPD","210661","2021-07-29 12:13:00","2021-08-30","Larceny/Bicycle","","","*All Leads Exhausted","","882 Newell Dr","29.643817","-82.34489554"
"UFPD","210567","2021-06-24 11:59:00","2021-06-25","Larceny/Bicycle","","","Pending","Tanglewood Village","2901 SW 13th St","29.623834799999997","-82.33875487"
"UFPD","210559","2021-06-22 09:04:00","2021-06-23","Larceny/Bicycle","","","Pending","","1545 W University Ave","29.651342800000002","-82.34290995"
"UFPD","210551","2021-06-18 18:10:00","2021-06-21","Larceny/Bicycle","","","Pending","Diamond Village","299 Diamond Rd","29.6436653","-82.3395078"
"UFPD","210547","2021-06-17 11:50:00","2021-06-17","Larceny/Bicycle","","","Pending","","1104 Newell Dr","29.64205115","-82.34449"
"UFPD","210547","2021-06-17 11:50:00","2021-06-25","Larceny/Bicycle","","","*All Leads Exhausted","","1104 Newell Dr","29.64205115","-82.34449"
"UFPD","210539","2021-06-15 18:19:00","2021-06-16","Larceny/Bicycle","","","Pending","","288 Corry Village","29.64621545","-82.36145965"
"UFPD","210524","2021-06-10 09:07:00","2021-06-11","Larceny/Bicycle","","","Pending","UF Health Shands Hospital","1600 SW Archer Rd","29.64012541","-82.34268493"
"UFPD","210521","2021-06-08 20:53:00","2021-06-09","Larceny/Bicycle","","","Pending","","2004 Mowry Rd","29.63978835","-82.349381"
"UFPD","210498","2021-06-01 17:44:00","2021-06-02","Larceny/Bicycle","","","Pending","Diamond Village","1436 Diamond Rd","29.642238300000002","-82.3411115"
"UFPD","210454","2021-05-12 11:17:00","2021-05-13","Larceny/Bicycle","","","Pending","Maguire Village","1537 Blue Cir","29.63804035","-82.37182225"
"UFPD","210450","2021-05-11 16:45:00","2021-05-12","Larceny/Bicycle","","","Pending","","1104 Gale Lemerand Dr","29.6367136","-82.3501876"
"UFPD","210447","2021-05-10 14:45:00","2021-05-12","Larceny/Bicycle","","","Pending","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","210447","2021-05-10 14:45:00","2021-05-17","Larceny/Bicycle","","","*All Leads Exhausted","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","210443","2021-05-07 15:55:00","2021-05-12","Larceny/Bicycle","","","Pending","","132 Buckman Dr","29.6507943","-82.3450037"
"UFPD","210433","2021-05-03 11:06:00","2021-05-04","Larceny/Bicycle","","","Pending","Springs Residential Complex","404 Fraternity Dr","29.648997549999997","-82.35637701"
"UFPD","210433","2021-05-03 11:06:00","2021-05-12","Larceny/Bicycle","","","*All Leads Exhausted","Springs Residential Complex","404 Fraternity Dr","29.648997549999997","-82.35637701"
"UFPD","210415","2021-04-29 15:44:00","2021-04-30","Larceny/Bicycle","","","Pending","","2060 Stadium Rd","29.64822564334742","-82.35392922"
"UFPD","210414","2021-04-29 13:20:00","2021-04-30","Larceny/Bicycle","","","Pending","Hume West Residence","2165 Museum Rd","29.644519000000003","-82.35348531"
"UFPD","210414","2021-04-29 13:20:00","2021-05-27","Larceny/Bicycle","","","*All Leads Exhausted","Hume West Residence","2165 Museum Rd","29.644519000000003","-82.35348531"
"UFPD","210404","2021-04-26 12:20:00","2021-04-27","Larceny/Bicycle","","","Pending","","629 Corry Cir","29.64692635","-82.36151475"
"UFPD","210401","2021-04-25 12:45:00","2021-04-26","Larceny/Bicycle","","","Pending","","133 Fletcher Dr","29.6512903","-82.34600255"
"UFPD","210401","2021-04-25 12:45:00","2021-05-26","Larceny/Bicycle","","","*All Leads Exhausted","","133 Fletcher Dr","29.6512903","-82.34600255"
"UFPD","210399","2021-04-24 23:20:00","2021-04-26","Larceny/Bicycle","","","Pending","Diamond Village","1300 Diamond Rd","29.643756","-82.339471"
"UFPD","210399","2021-04-24 23:20:00","2021-05-10","Larceny/Bicycle","","","*All Leads Exhausted","Diamond Village","1300 Diamond Rd","29.643756","-82.339471"
"UFPD","210396","2021-04-23 17:44:00","2021-04-26","Larceny/Bicycle","","","Pending","Springs Residential Complex","408 Fraternity Dr","29.64910735","-82.35707659"
"UFPD","210396","2021-04-23 17:44:00","2021-05-26","Larceny/Bicycle","","","*All Leads Exhausted","Springs Residential Complex","408 Fraternity Dr","29.64910735","-82.35707659"
"UFPD","210384","2021-04-19 20:17:00","2021-04-20","Larceny/Bicycle","","","Pending","","100 Fletcher Dr","29.651947","-82.3462902"
"UFPD","210384","2021-04-19 20:17:00","2021-05-10","Larceny/Bicycle","","","*All Leads Exhausted","","100 Fletcher Dr","29.651947","-82.3462902"
"UFPD","210375","2021-04-17 11:46:00","2021-04-19","Larceny/Bicycle","","","Pending","Fletcher Hall","72 Buckman Dr","29.651254299999998","-82.34541567"
"UFPD","210352","2021-04-14 22:23:00","2021-04-15","Larceny/Bicycle","","","Pending","","1387 Museum Rd","29.64437545","-82.3405974"
"UFPD","210352","2021-04-14 22:23:00","2021-04-21","Larceny/Bicycle","","","*Sworn Complaint","","1387 Museum Rd","29.64437545","-82.3405974"
"UFPD","210351","2021-04-14 20:08:00","2021-04-15","Larceny/Bicycle","","","Pending","","1480 Inner Rd","29.64773565","-82.34119526"
"UFPD","210351","2021-04-14 20:08:00","2021-04-27","Larceny/Bicycle","","","*Sworn Complaint","","1480 Inner Rd","29.64773565","-82.34119526"
"UFPD","210346","2021-04-13 18:50:00","2021-04-14","Larceny/Bicycle","","","Pending","","1745 McCarty Dr","29.6454145","-82.3457288"
"UFPD","210346","2021-04-13 18:50:00","2021-04-20","Larceny/Bicycle","","","*Sworn Complaint","","1745 McCarty Dr","29.6454145","-82.3457288"
"UFPD","210345","2021-04-13 15:42:00","2021-04-14","Larceny/Bicycle","","","Pending","UF Health Shands Hospital","1600 SW Archer Rd","29.64012541","-82.34268493"
"UFPD","210345","2021-04-13 15:42:00","2021-05-21","Larceny/Bicycle","","","*All Leads Exhausted","UF Health Shands Hospital","1600 SW Archer Rd","29.64012541","-82.34268493"
"UFPD","210341","2021-04-11 13:30:00","2021-04-12","Larceny/Bicycle","","","Pending","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210341","2021-04-11 13:30:00","2021-05-21","Larceny/Bicycle","","","*All Leads Exhausted","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210318","2021-04-04 22:20:00","2021-04-06","Larceny/Bicycle","","","Pending","Diamond Village","1322 Diamond Rd","29.64326635","-82.34005545"
"UFPD","210318","2021-04-04 22:20:00","2021-04-12","Larceny/Bicycle","","","*Unfounded","Diamond Village","1322 Diamond Rd","29.64326635","-82.34005545"
"UFPD","210265","2021-03-23 14:40:00","2021-03-24","Larceny/Bicycle","","","Pending","Diamond Village","1322 Diamond Rd","29.64326635","-82.34005545"
"UFPD","210265","2021-03-23 14:40:00","2021-03-30","Larceny/Bicycle","","","*All Leads Exhausted","Diamond Village","1322 Diamond Rd","29.64326635","-82.34005545"
"UFPD","210241","2021-03-17 01:21:00","2021-03-17","Larceny/Bicycle","","","Pending","","245 Gale Lemerand Dr","29.6367136","-82.3501876"
"UFPD","210232","2021-03-14 14:30:00","2021-03-15","Larceny/Bicycle","","","Pending","","1348 Museum Rd","29.644947816326532","-82.33966561"
"UFPD","210232","2021-03-14 14:30:00","2021-04-15","Larceny/Bicycle","","","*Sworn Complaint","","1348 Museum Rd","29.644947816326532","-82.33966561"
"UFPD","210221","2021-03-11 09:32:00","2021-03-12","Larceny/Bicycle","","","Pending","","110 Fletcher Dr","29.65119565","-82.34657126"
"UFPD","210221","2021-03-11 09:32:00","2021-03-18","Larceny/Bicycle","","","*All Leads Exhausted","","110 Fletcher Dr","29.65119565","-82.34657126"
"UFPD","210214","2021-03-09 12:36:00","2021-03-10","Larceny/Bicycle","","","Pending","Springs Residential Complex","406 Fraternity Dr","29.6491027","-82.35677742"
"UFPD","210193","2021-03-03 15:43:00","2021-03-04","Larceny/Bicycle","","","Pending","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210193","2021-03-03 15:43:00","2021-03-12","Larceny/Bicycle","","","*Sworn Complaint","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210181","2021-03-01 15:57:00","2021-03-02","Larceny/Bicycle","","","Pending","","1358 Museum Rd","29.644944653061224","-82.33969949"
"UFPD","210181","2021-03-01 15:57:00","2021-03-12","Larceny/Bicycle","","","*All Leads Exhausted","","1358 Museum Rd","29.644944653061224","-82.33969949"
"UFPD","210169","2021-02-26 18:41:00","2021-03-01","Larceny/Bicycle","","","Pending","","1310 Museum Rd","29.645972049999997","-82.33975907"
"UFPD","210168","2021-02-26 11:54:00","2021-03-01","Larceny/Bicycle","","","Pending","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210168","2021-02-26 11:54:00","2021-03-04","Larceny/Bicycle","","","*Sworn Complaint","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210160","2021-02-23 22:49:00","2021-02-24","Larceny/Bicycle","","","Pending","","684 Gale Lemerand Dr","29.6461794","-82.35073859"
"UFPD","210160","2021-02-23 22:49:00","2021-04-16","Larceny/Bicycle","","","*All Leads Exhausted","","684 Gale Lemerand Dr","29.6461794","-82.35073859"
"UFPD","210154","2021-02-22 15:10:00","2021-02-23","Larceny/Bicycle","","","Pending","","54 Buckman Dr","29.65141835","-82.34569336"
"UFPD","210144","2021-02-19 19:01:00","2021-02-22","Larceny/Bicycle","","","Pending","Reitz Union","655 Reitz Union Dr","29.6450012","-82.3485992"
"UFPD","210143","2021-02-19 15:43:00","2021-02-22","Larceny/Bicycle","","","Pending","","1407 Museum Rd","29.6440989","-82.34076885"
"UFPD","210141","2021-02-18 19:25:00","2021-02-19","Larceny/Bicycle","","","Pending","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","210134","2021-02-16 16:38:00","2021-02-17","Larceny/Bicycle","","","Pending","Tanglewood Village","2901 SW 13th St","29.623834799999997","-82.33875487"
"UFPD","210126","2021-02-13 16:17:00","2021-02-15","Larceny/Bicycle","","","Pending","","2879 Hull Rd/Natural Area Dr","",""
"UFPD","210106","2021-02-07 18:30:00","2021-02-08","Larceny/Bicycle","","","Pending","","2033 Mowry Rd","29.63802975","-82.35161174"
"UFPD","210103","2021-02-06 15:04:00","2021-02-08","Larceny/Bicycle","","","Pending","","1545 W University Ave","29.651342800000002","-82.34290995"
"UFPD","210097","2021-02-05 13:23:00","2021-02-08","Larceny/Bicycle","","","Pending","","2087 Stadium Rd","29.64796015","-82.35146394"
"UFPD","210097","2021-02-05 13:23:00","2021-02-15","Larceny/Bicycle","","","*All Leads Exhausted","","2087 Stadium Rd","29.64796015","-82.35146394"
"UFPD","210061","2021-01-26 19:17:00","2021-01-27","Larceny/Bicycle","","","Pending","UF College of Dentistry","1395 Center Dr","29.6381661","-82.3459922"
"UFPD","210062","2021-01-26 17:01:00","2021-01-27","Larceny/Bicycle","","","Pending","UF Police Department","1555 Museum Rd","29.6449293","-82.3605154"
"UFPD","210046","2021-01-19 23:36:00","2021-01-20","Larceny/Bicycle","","","Pending","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210046","2021-01-19 23:36:00","2021-02-02","Larceny/Bicycle","","","*All Leads Exhausted","Springs Residential Complex","410 Fraternity Dr","29.648705550000003","-82.35711076"
"UFPD","210006","2021-01-05 18:01:00","2021-01-06","Larceny/Bicycle","","","Pending","","1387 Museum Rd","29.64437545","-82.3405974"
"UFPD","201226","2020-12-29 18:07:00","2021-01-04","Larceny/Bicycle","","","Pending","","2955 Radio Rd","29.641826350000002","-82.3661776"
"UFPD","201202","2020-12-16 18:05:00","2020-12-17","Larceny/Bicycle","","","Pending","Kappa Alpha","763 Fraternity Dr","29.64728398267679","-82.35793838"
"UFPD","201202","2020-12-16 18:05:00","2020-12-18","Larceny/Bicycle","","","*All Leads Exhausted","Kappa Alpha","763 Fraternity Dr","29.64728398267679","-82.35793838"
"UFPD","201181","2020-12-11 12:25:00","2020-12-14","Larceny/Bicycle","","","Pending","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","201176","2020-12-10 15:14:00","2020-12-11","Larceny/Bicycle","","","Pending","Jennings Hall","1509 Museum Rd","29.6443588","-82.3417443"
"UFPD","201176","2020-12-10 15:14:00","2020-12-18","Larceny/Bicycle","","","*All Leads Exhausted","Jennings Hall","1509 Museum Rd","29.6443588","-82.3417443"
"UFPD","201174","2020-12-09 12:45:00","2020-12-10","Larceny/Bicycle","","","Pending","","1523 Union Rd","29.6492778","-82.3420771"
"UFPD","201173","2020-12-09 12:20:00","2020-12-10","Larceny/Bicycle","","","Pending","Fraternity Parking Lot","470 Fraternity Dr","29.64847557625801","-82.35760483"
"UFPD","201173","2020-12-09 12:20:00","2021-01-26","Larceny/Bicycle","","","*Sworn Complaint","Fraternity Parking Lot","470 Fraternity Dr","29.64847557625801","-82.35760483"
"UFPD","201158","2020-12-01 19:55:00","2020-12-02","Larceny/Bicycle","","","Pending","","2103 Museum Rd","29.64446345","-82.35149921"
"UFPD","201157","2020-12-01 14:08:00","2020-12-02","Larceny/Bicycle","","","Pending","","759 Newell Dr","29.645350649999997","-82.34298018"
"UFPD","201157","2020-12-01 14:08:00","2020-12-07","Larceny/Bicycle","","","*Unfounded","","759 Newell Dr","29.645350649999997","-82.34298018"
"UFPD","201153","2020-11-30 06:48:00","2020-11-30","Larceny/Bicycle","","","Pending","","226 Gale Lemerand Dr","29.6367136","-82.3501876"
"UFPD","201153","2020-11-30 06:48:00","2020-12-23","Larceny/Bicycle","","","*Sworn Complaint","","226 Gale Lemerand Dr","29.6367136","-82.3501876"
"UFPD","201128","2020-11-23 05:29:00","2020-11-24","Larceny/Bicycle","","","Pending","Fletcher Hall","72 Buckman Dr","29.651254299999998","-82.34541567"
"UFPD","201127","2020-11-22 15:32:00","2020-11-23","Larceny/Bicycle","","","Pending","","1310 Museum Rd","29.645972049999997","-82.33975907"
"UFPD","201123","2020-11-21 14:51:00","2020-11-23","Larceny/Bicycle","","","Pending","Health Professions, Nursing and Pharmacy","1225 Center Dr","29.641668199999998","-82.34524251"
"UFPD","201123","2020-11-21 14:51:00","2020-12-10","Larceny/Bicycle","","","*All Leads Exhausted","Health Professions, Nursing and Pharmacy","1225 Center Dr","29.641668199999998","-82.34524251"
"UFPD","201108","2020-11-17 11:53:00","2020-11-18","Larceny/Bicycle","","","Pending","","651 Newell Dr","29.64623255","-82.34292308"
"UFPD","201103","2020-11-16 14:59:00","2020-11-17","Larceny/Bicycle","","","Pending","Chi Omega","807 W Panhellenic Dr","29.644641749999998","-82.338032"
"UFPD","201089","2020-11-11 11:17:00","2020-11-13","Larceny/Bicycle","","","Pending","","1310 Museum Rd","29.645972049999997","-82.33975907"
"UFPD","201082","2020-11-09 16:25:00","2020-11-10","Larceny/Bicycle","","","Pending","Maguire Village","1303 Blue Cir","29.640253350000002","-82.37187037"
"UFPD","201081","2020-11-09 16:18:00","2020-11-10","Larceny/Bicycle","","","Pending","","1745 McCarty Dr","29.6454145","-82.3457288"
"UFPD","201068","2020-11-05 12:36:00","2020-11-05","Larceny/Bicycle","","","Pending","","1367 Inner Rd","29.64680685","-82.34029109"
"UFPD","201068","2020-11-05 12:36:00","2020-11-11","Larceny/Bicycle","","","*All Leads Exhausted","","1367 Inner Rd","29.64680685","-82.34029109"
"UFPD","201058","2020-11-02 16:33:00","2020-11-03","Larceny/Bicycle","","","Pending","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","201058","2020-11-02 16:33:00","2020-11-04","Larceny/Bicycle","","","*Unfounded","","2129 Museum Rd","29.64455065","-82.3524818"
"UFPD","201043","2020-10-30 16:22:00","2020-11-02","Larceny/Bicycle","","","Pending","UF Health Shands Hospital","1600 SW Archer Rd","29.64012541","-82.34268493"
"UFPD","201043","2020-10-30 16:22:00","2020-12-10","Larceny/Bicycle","","","*All Leads Exhausted","UF Health Shands Hospital","1600 SW Archer Rd","29.64012541","-82.34268493"
"UFPD","201041","2020-10-30 08:23:00","2020-12-16","Larceny/Bicycle","","","*All Leads Exhausted","","375 Newell Dr","29.64357295138259","-82.34342592"
"UFPD","201041","2020-10-30 08:23:00","2020-11-02","Larceny/Bicycle","","","Pending","","375 Newell Dr","29.64357295138259","-82.34342592"
"UFPD","201034","2020-10-28 08:13:00","2020-10-29","Larceny/Bicycle","","","Pending","","633 Gale Lemerand Dr","29.6464017","-82.34944657"
"UFPD","201034","2020-10-28 08:13:00","2020-12-02","Larceny/Bicycle","","","*All Leads Exhausted","","633 Gale Lemerand Dr","29.6464017","-82.34944657"
"UFPD","201012","2020-10-22 19:51:00","2020-10-23","Larceny/Bicycle","","","Pending","","1368 Union Rd","29.6507629","-82.3401647"
"UFPD","201012","2020-10-22 19:51:00","2020-11-02","Larceny/Bicycle","","","*All Leads Exhausted","","1368 Union Rd","29.6507629","-82.3401647"
"UFPD","201010","2020-10-22 16:56:00","2020-12-03","Larceny/Bicycle","","","*All Leads Exhausted","","54 Buckman Dr","29.65141835","-82.34569336"
"UFPD","201010","2020-10-22 16:56:00","2020-10-23","Larceny/Bicycle","","","Pending","","54 Buckman Dr","29.65141835","-82.34569336"
"UFPD","201008","2020-10-22 15:14:00","2020-10-23","Larceny/Bicycle","","","Pending","Jennings Hall","1509 Museum Rd","29.6443588","-82.3417443"
"UFPD","201008","2020-10-22 15:14:00","2020-11-09","Larceny/Bicycle","","","*All Leads Exhausted","Jennings Hall","1509 Museum Rd","29.6443588","-82.3417443"
"UFPD","201006","2020-10-22 00:00:00","2020-10-22","Larceny/Bicycle","","","Pending","","1358 Museum Dr","29.6402016","-82.3641817"
"UFPD","201006","2020-10-22 00:00:00","2020-11-19","Larceny/Bicycle","","","*All Leads Exhausted","","1358 Museum Dr","29.6402016","-82.3641817"
"UFPD","201004","2020-10-21 17:11:00","2020-10-22","Larceny/Bicycle","","","Pending","","1504 W University Ave","29.652152428571426","-82.34201357"
